Name;Year of establishment;Ownership;Category
Nigerian Army Institute of Technology and Environmental Science (NAITES) Makurdi;1960.0;Federal Government;Polytechnic
"Nigerian College of Aviation Technology (NCAT), Sokoto Road, Zaria, Kaduna State
Email:
			info@ncat.gov.ng
			academics@ncat.gov.ng
Telephone:
			+2347018741431
			+2347015099833 (Academic Affairs)
			+2347015099843 (Information Unit)";1964.0;Federal Government;Polytechnic
Abdu Gusau Polytechnic, Talata Mafara P.M.B. 1021, Talata Mafara, Zamfara State.;1992.0;State Government;Polytechnic
Abraham Adesanya Polytechnic, Dogbolu/Akanran Ibadan Road, Atikori, Ijebu Igbo, P.M.B. 1020, Ijebu-Igbo, Ogun State.;2004.0;State Government;Polytechnic
Abubakar Tatari Ali Polytechnic, Bauchi, Jos Rd, Bauchi, Bauchi State.;1988.0;State Government;Polytechnic
Adamawa State Polytechnic, Yola, P.M.B. 2146, Yola, Adamawa State.;1991.0;State Government;Polytechnic
Adeseun Ogundoyin Polytechnic, Eruwa (Formerly Ibarapa Polytechnic Eruwa)PMB 1015 EruwaOyo State;2013.0;State Government;Polytechnic
Akwa Ibom State College of Art & Science, Nung Ukim, P.M.B. 1044, Akwa Ibom State.;1997.0;State Government;Polytechnic
Akwa Ibom State Polytechnic, Ikot Osurua, Ikot -Ekpene, Akwa Ibom State.;1991.0;State Government;Polytechnic
Anambra State Polytechnic, PMB 002, Mgbakwu,  Anambra State;1980.0;State Government;Polytechnic
Bayelsa State Polytechnic, Aleibiri, P.M.B 168 Ekeremor;2014.0;State Government;Polytechnic
Benue State Polytechnic, Ugbokolo,P.M.B. 01 Ugbokolo, Benue State.;1976.0;State Government;Polytechnic
Binyaminu Usman Polytechnic, Hadejia, Jigawa State;2016.0;State Government;Polytechnic
Cross River State Institute of Technology And Management (CRITM)			Km 95, Ikom-Calabar Highway			PMB 016			Ugep			Cross River State, Nigeria.https://critm.edu.ng;2012.0;State Government;Polytechnic
D.S. Adegbenro ICT Polytechnic, Itori-Ewekoro, P.M.B. 5026, Ifo, Ogun State.;2004.0;State Government;Polytechnic
Delta State Polytechnic, Ogwashi-Uku,P.M.B. 1030, Ogwashi-Uku, Delta State.;2002.0;State Government;Polytechnic
Delta State Polytechnic, Otefe-Oghara, P.M.B. 03, Otefe-Oghara, Delta State;2002.0;State Government;Polytechnic
Delta State School of Marine Technology, Burutu, P.M.B. 1060, Warri, Delta State. +2348023286056, +2347038591043 dittimi200@yahoo.com deltastatesomech.edu.ng;2017.0;State Government;Polytechnic
Edo State Polytechnic, Usen.P.M.B. 1104, Benin City, Edo State.;2002.0;State Government;Polytechnic
Ekiti State College of Agriculture and Technology, Isan Ekiti, Ekiti State;2021.0;State Government;Polytechnic
Enugu State Polytechnic, Iwollo;2017.0;State Government;Polytechnic
Gateway Polytechnic, SaapadeProf. Wole Soyinka Way, Saapade Estate, P.M.B. 2003, Isara Ode-Remo, Ogun State.;2004.0;State Government;Polytechnic
Hassan Usman Katsina Polytechnic (HUK),P.M.B. 2052, Katsina, Nigeria.;1983.0;State Government;Polytechnic
Imo State Polytechnic, Umuagwo, Ohaji, P.M.B. 1472, Umuagwo, Ohaji Owerri, Imo State;1978.0;State Government;Polytechnic
Institute of Management and Technology, Enugu, P.M.B 01079, Enugu, Enugu State.;1965.0;State Government;Polytechnic
Isa Mustapha Agwai Polytechnic Lafia, (Formerly, Nasarawa State Polytechnic, Lafia)P. M. B. 109, Lafia, Nasarawa State.;2001.0;State Government;Polytechnic
Jigawa State Polytechnic, DutseBlock 40-42, Old Secretariat, P.M.B. 7040, Dutse, Jigawa State.;2007.0;State Government;Polytechnic
Kano State Polytechnic, Kano, P.M.B. 3401, Kano, Kano State.;1976.0;State Government;Polytechnic
Katsina State Institute of Technology and Management (KSTIM)Katsina, Katsina State;2013.0;State Government;Polytechnic
Ken Sarowiwa Polytechnic, Bori, P.M.B. 20, Bori, Rivers State.;1988.0;State Government;Polytechnic
Kogi State Polytechnic, Lokoja, P.M.B. 1101, Lokoja Kogi State.;1993.0;State Government;Polytechnic
Kwara State Polytechnic, Ilorin P.M.B. 1375, Ilorin, Kwara State.;1973.0;State Government;Polytechnic
Mai-Idris Alooma Polytechnic, Geidam,P.M.B. 1020 Geidam, Yobe State.;2002.0;State Government;Polytechnic
Moshood Abiola Polytechnic, Abeokuta P.M.B. 2210, Abeokuta, Ogun State. mapoly@pinet.edu.com;1979.0;State Government;Polytechnic
Nasarawa State College of Agriculture and Technology, Lafia, PMB 033, Lafia, Nasarawa State;1996.0;State Government;Polytechnic
Niger State Polytechnic, Zungeru, P.M.B. 1 Zungeru, Niger State.;1991.0;State Government;Polytechnic
Nuhu Bamalli Polytechnic, Zaria, P.M.B. 1061 Zaria Kaduna State.;1989.0;State Government;Polytechnic
Ogun State Institute of Technology, IgbesaOba Adesola Market Road, P.M.B. 2005, Igbesa, Ogun State.;2004.0;State Government;Polytechnic
Ogun State Polytechnic, Ipokia(Ogun State Government is yet to decide on the fate of the Institution following the reinstatement of Moshood Abiola Polytechnic (MAPOLY) Abeokuta;2018.0;State Government;Polytechnic
Oke-Ogun Polytechnic, Shaki,Oyo State;2013.0;State Government;Polytechnic
Osun State College of Technology, P.M.B. 1011, Esa – Oke, Osun State.;1991.0;State Government;Polytechnic
Osun State Polytechnic, Iree, P.M.B. 301, Iree, Osun State.;1992.0;State Government;Polytechnic
Oyo State College of Agriculture and Technology, Igbo Ora;2018.0;State Government;Polytechnic
Plateau State Polytechnic, Barkin-Ladi,P.M.B. 02023, Jos, Plateau State.;1978.0;State Government;Polytechnic
Port-Harcourt PolytechnicP.M.B. 5936, Port-Harcourt, Rivers State.;1991.0;State Government;Polytechnic
Ramat Polytechnic, Maiduguri, P.M.B. 1070, Maiduguri, Borno State.;1976.0;State Government;Polytechnic
Rufus Giwa Polytechnic, Owo, P.M.B. 1019 Owo Ondo State.;1979.0;State Government;Polytechnic
Taraba State Polytechnic, Suntai;2017.0;State Government;Polytechnic
The Polytechnic Ibadan, P.M.B. 22, Ibadan, Oyo State.;1970.0;State Government;Polytechnic
Umaru Ali Shinkafi Polytechnic, Sokoto, P.M.B. 2356 Sokoto, Sokoto State.;2000.0;State Government;Polytechnic
Zamfara State College of Arts and Science, Sani Abacha Way, Sokoto Road, P.M.B. 1107, Gusau;2000.0;State Government;Polytechnic
Al-Hikma Polytechnic Karu1st Close, Off Tafawa Balewa Street,Before Al-Hikma International AcadenyP.O. Box 453 Mararaba Gurku, Karu,Nasarawa State;2016.0;Private;Polytechnic
Allover Central Polytechnic, Sango Ota, Plot 3A & B Abiodun Popoola Street,Sango Ota, Ogun State. allovercentralpoly@yahoo.com;2003.0;Private;Polytechnic
Ajayi Polytechnic Ikere Ekiti, Ekiti State;2017.0;Private;Polytechnic
Ashi PolytechnicAnyiin, Logo Local GovernmentP.M.B 102098Benue State08020532524, 07054987111ashitechnigltd2007@gmail.com;2018.0;Private;Polytechnic
Best Solution Polytechnic, AkureKM 8 Akure - Ondo RoadP.O. Box 518AkureOndo Statebestsolutionn@yahoo.com;2016.0;Private;Polytechnic
Bellarks PolytechnicTemporary Site:KM 4, Kwale – Asaba Expressway, beside Lococoon Hotels, Kwale Delta StateP.M.B. 003 Kwale Delta State08106703725, 08134053736bellarkspolytechnic@gmail.combellarkspolytechnic@yahoo.com;2021.0;Private;Polytechnic
Brainfill Polytechnic, by Mickon Filling Station Off Aba  Road Ikot Ekpene, Akwa Ibom State;2022.0;Private;Polytechnic
British Transatlantic PolytechnicKM 5, Akure-Ado ExpresswayIgoba, AkureOndo State;2022.0;Private;Polytechnic
Bolmor Polytechnic, GPO Box 11221 Dugbe, Ibadan, Oyo State. bolmorpolytechnic@yahoo.com;2015.0;Private;Polytechnic
Calvary Polytechnic, Owa-OyibuDelta State;2016.0;Private;Polytechnic
Citi PolytechnicPlot 182, Hillside ExtensionDutse-Dawaki RoadDutse AlhajiFCT Abuja080620959160806551894408166934660citipolytechnic2@gmail.com;2018.0;Private;Polytechnic
Coastal Polytechnic ApapaP.O.Box 4335Apapa Lagos;2020.0;Private;Polytechnic
Covenant Polytechnic, Aba,P.M.B. 7065, Aba/Owerri Road, Abayi, AbaAbia State.;2010.0;Private;Polytechnic
Crown Polytechnic, Ado-EkitiP.M.B. 5424, Km 10, Ilawe Road, Odo, Ekiti State;2008.0;Private;Polytechnic
Distinct Polytechnic EkosinKM 1, Agbeye RoadOdo Otin LGAOsun State;2022.0;Private;Polytechnic
Dorben Polytechnic, Abuja,P. O. Box 6322 Garki, Bwari, Abuja.abupoly@yahoo.ca;2008.0;Private;Polytechnic
Eastern Polytechnic80c. Igwuruta Road (Tank), Rumuokwurusi, P.O. Box 12667 Port Harcourt, Rivers State. www.acmgt.orginfo@acmggt.org;2015.0;Private;Polytechnic
Enville Polytechnic IkejaTake Off Site:4, Osho Street, Off Opebi/Oregun Link RoadP.M.B 8638Ikeja, LagosPermanent SiteOwu-IgankeOff Itokin Road, Epe LGALagos Statewww.envilleinstitute.edu.nginfo@envilleinstitute.edu.ng08033151233, 07069772199;2019.0;Private;Polytechnic
Fidei Polytechnic, GbokoP.M.B. 185, Km 8 Gboko-Aliade Road, Benue State.;2007.0;Private;Polytechnic
Foundation Polytechnic, Ikot IdemP.O. Box 1166, Ikot EkpeneAkwa Ibom State0802 742 4802, 0706 809 2448info@foundationpoly.edu.ngfoundationpoly@gmail.comwww.foundationpoly.edu.ng;2022.0;Private;Polytechnic
Gboko Polytechnic, Gboko, PMB 131, GbokoBenue State;2016.0;Private;Polytechnic
Global Polytechnic, Akure,Ondo State;2016.0;Private;Polytechnic
Gloryland Polytechnic, AnkpaKilometer 6 Ankpa-Anyigba RoadP.M.B 1010Ankpa, Kogi State;2022.0;Private;Polytechnic
Grace Polytechnic, Surulere, P.O. Box 9067, Lagos State. gracepoly@yahoo.com;1999.0;Private;Polytechnic
Graceland Polytechnic, OffaOyeleke College RoadOff Irra RoadP.O.Box 4441Offa, Kwara State08054293939, 08038102114;2018.0;Private;Polytechnic
Grundtvig PolytechnicKM 11 Onitsha-Owerri ExpresswayOba Anambra Stateinfo@grundtvigpolytechnic.comwww.grundtvigpolytechnic.com+2348032726198;2019.0;Private;Polytechnic
Harry Pass PolytechnicTse Usen Mkar GbokoBenue State07030694480;2020.0;Private;Polytechnic
Harvard PolytechnicNo. 15, Onireke Road AgbabiakaIlorin – Kwara State;2022.0;Private;Polytechnic
Heritage Polytechnic, Ikot Udota, Eket, Akwa Ibom State;2010.0;Private;Polytechnic
Hope PolytechnicNdon Utibe, Ediene AtaiIkono LGAAkwa Ibom State;2022.0;Private;Polytechnic
Ibadan City Polytechnic, Alakia-Isebo/Iyana Church RoadPMB 10426, IbadanOyo Statewww.icp.edu.ng0708 459 3012;2015.0;Private;Polytechnic
Ibom Metropolitan Polytechnic, UyoAkwa Ibom State;2021.0;Private;Polytechnic
I-CON Universal Polytechnic OsogboOsun State;2021.0;Private;Polytechnic
Igbajo Polytechnic, IgbajoP.M.B. 303, Osun State.;2009.0;Private;Polytechnic
Ihechukwu Madubuike Institute of TechnologyIsuochi, Abia State;2021.0;Private;Polytechnic
Inspire Polytechnic39/41, Karimulaka StreetEgbeda, LagosLagos StateTel. 07059899996, 07059899998;2022.0;Private;Polytechnic
Iwo City Polytechnic, IwoOsun State;2021.0;Private;Polytechnic
"Kalac Christal Polytechnic, 1A, Sikiru Adewale Street, Opposite Shoprite, Sangotedo, Lekki, Lagos State. 08033062214, 08036887077info@kcpoly.edu.ng; www.kcpoly.ng";2014.0;Private;Polytechnic
Kanmi Alo Interlink Polytechnic, Ijebu-Jesa,Km 1, Ado-Ekiti RoadP.M.B. 5060, Ijebu-Jesa, Osun State;2008.0;Private;Polytechnic
Kings Polytechnic, Ubiaja,Edo State;2010.0;Private;Polytechnic
Landmark PolytechnicAyetoro/Itele Via AyoboAdo Odo Ota LGAOgun State0803373212108054475307landmarkpoly@gmail.comwww.landmarkpolytechnic.com.ng;2018.0;Private;Polytechnic
Lagos City Polytechnic, Ikeja, P.M.B. 21200, Ikeja, Lagos State. info@lagoscitypolytechnic.net;1995.0;Private;Polytechnic
Lens PolytechnicKilometer 2 Irra RoadBeside Naval BaseOffa, Kwara State;2016.0;Private;Polytechnic
Lighthouse Polytechnic,Sunshine Hills EvbuobanosaKm 3, Asaba Road, P.M.B. 1724, Benin City, Edo State;2008.0;Private;Polytechnic
Marist Polytechnic, Umuchigbo, Iji-Nike, EmeneEnugu State;2016.0;Private;Polytechnic
Mater Dei PolytechnicUgwuoba TownOji River LGAEnugu State;2018.0;Private;Polytechnic
Nacabs Polytechnic, AkwangaP.M.B. 001 Akwanga, Nasarawa State;2013.0;Private;Polytechnic
New Land Polytechnic, Idofian, Kwara State;2022.0;Private;Polytechnic
Nogak Polytechnic, Ikom,Cross Rivers State;2012.0;Private;Polytechnic
Novelty Polytechnic KishiKM 3 Ilorin RoadP.M.B 03 KishiOyo Statewww.noveltypolytechnic.edu.ngnoveltypolytechnic2016@gmail.com0706602950008140685721;2019.0;Private;Polytechnic
Oduduwa Polytechnic, Idumu, LagosLagos State;2021.0;Private;Polytechnic
Our Saviour Institute of Science, Agriculture & Technology, Enugu, P.M.B. 01161, Enugu, Enugu State.;1991.0;Private;Polytechnic
Paramount Polytechnic44 Ofoshin RoadEkigbo – Lagos State;2022.0;Private;Polytechnic
Prime Polytechnic, Jida Bassa, Ajaokuta, Kogi State. primepolytechnic@gmail.comprimepolytechnic@yahoo.com;2015.0;Private;Polytechnic
Redeemers College of Technology and Management (RECTEM)KM 46 Lagos – Ibadan ExpresswayMowe, Ogun State+234 1  453 6229+234 808 459 0371+234 811 767 0767www.rectem.edu.ngadmin@rectem.edu.ngregistrar@rectem.edu.ng;2018.0;Private;Polytechnic
Ronik Polytechnic, Ejigbo, P.M.B. 21764, Ikeja, Lagos, Lagos State. ronikpolytechnic@yahoo.com,www.ronikpolytechnic.org.;2003.0;Private;Polytechnic
Saf Polytechnic, P.O. Box 55IseyinOyo State.;2018.0;Private;Polytechnic
Savanah Institute of TechnologyIshieke JunctionEnugu-Abakaliki ExpresswayAbakaliki, Ebonyi Statewww.savannah.edu.ng;2017.0;Private;Polytechnic
Shaka PolytechnicNo1 Prince Shaka Momodu Street, Ogiso, Off M.M. Way, P.M.B. 1240, Benin City, Edo State.;2013.0;Private;Polytechnic
Speedway Polytechnic7/20 Igbehinadun StreetOff Odozi StreetOsoba Ojudu, Ogun State;2019.0;Private;Polytechnic
St. Mary Polytechnic, Kwamba, P.M.B 418, Suleja, Niger State;2015.0;Private;Polytechnic
Stars PolytechnicOta LGAOgun Stateinfo@starspoly.edu.ngwww.starspoly.edu.ng;2020.0;Private;Polytechnic
Southern Atlantic PolytechnicKM 50, Airport RoadUyo – Akwa Ibom State;2020.0;Private;Polytechnic
Sure Foundation Polytechnic, Ikot Akai, Ukanafun LGA,Akwa Ibom Statewww.sfp.edu.ng;2016.0;Private;Polytechnic
Teedek Polytechnic, Ilogbo-Ekiti, Ekiti State;2022.0;Private;Polytechnic
Temple Gate Polytechnic, Abayi, Osisioma, P. O. Box 3448, Aba, Abia State.;2009.0;Private;Polytechnic
The Polytechnic Aran-OrinOff Landmark UniversityOtun-Ekili RoadAran-Orin, Kwara State;2022.0;Private;Polytechnic
The Polytechnic, Igbo-Owu, Kwara State;2015.0;Private;Polytechnic
The Polytechnic, Ile Ife, P.M.B. 009, O.A.U. Ile-Ife, Osun State.;1999.0;Private;Polytechnic
The Polytechnic Iresi(Formerly College of Technology, Iresi) Osun State;2014.0;Private;Polytechnic
The Polytechnic OjokuKwara State;2022.0;Private;Polytechnic
The Polytechnic, Omuo-EkitiEkiti State;2022.0;Private;Polytechnic
The Polytechnic Otada Adoka,P.O.Box 280 Otukpo, Benue Statewww.thepolytechnicadoka.edu.ng;2016.0;Private;Polytechnic
Timeon Kairos Polytechnic Lagos326 Abeokuta Expressway, Super Cola Bus StopOko Oba via Abule Egba Lagos08125259754, 08081283332;2019.0;Private;Polytechnic
Tower Polytechnic, Ibadan,136, Liberty Road, P.O. Box 13039 G.P.O,Dugbe, Ibadan. towerpol@yahoo.com;2010.0;Private;Polytechnic
Trinity Polytechnic Uyo,Akwa Ibom State;2016.0;Private;Polytechnic
Ultra Excellence College of Tech Uyo, Akwa Ibom State;2022.0;Private;Polytechnic
United Polytechnic GamajigoOff KM 7, Zaria RoadJos – Plateau State;2022.0;Private;Polytechnic
Uma Ukpai Polytechnic, Asaga Ohafia, Abia State;2017.0;Private;Polytechnic
Uyo City Polytechnic, P.M.B. 1067,Uyo, Akwa Ibom State;2014.0;Private;Polytechnic
Valley View Polytechnic, OhafiaAbia State;2016.0;Private;Polytechnic
Villanova Polytechnic, Imesi-Ile (Formerly The Polytechnic, Imesi-Ile)Km 2, Imesi-Ile/Igbajo Road, Osun State.;2013.0;Private;Polytechnic
West Land PolytechnicNo 31 Opapa Road, Ilobu, Osun State;2022.0;Private;Polytechnic
Wolex Polytechnic, Iwo. 1Km. 2, Iwo-Ejigbo Road, P.O. Box 255, Osun State.wolexpoju@yahoo.com;1999.0;Private;Polytechnic
Akperan Orshi College of Agriculture, Yandev, P. M. B. 181,Yandev, Gboko, Benue State;1926.0;State Government;College of Agriculture
Audu Bako College of Agriculture, Danbatta, P. M. B. 3159, Dambatta, Kano State;2002.0;State Government;College of Agriculture
Bauchi State College of Agriculture, P.M.B. 088, Bauchi;2013.0;State Government;College of Agriculture
College of Agriculture and Animal Health, Bakura, P.M.B. 1022, Talata Mafara, Zamfara State;1999.0;State Government;College of Agriculture
College of Agriculture and Animal Science, DAC-ABU, Mando, P.M.B. 2134, Kaduna, Kaduna State. dac.abu@skannet.com dac.abu@inet-global.com;1959.0;Federal Government;College of Agriculture
College of Agriculture, Jalingo, P.M.B. 1025 Jalingo, Taraba State;1979.0;State Government;College of Agriculture
College of Agriculture, DAC – ABU, Kabba, P. M. B. 205, Kabba, Kogi State.;1964.0;Federal Government;College of Agriculture
College of Agriculture, Zuru, P.M.B. 1018, Zuru, Kebbi State;1976.0;State Government;College of Agriculture
Federal College of Agriculture, Akure, P.M.B. 623, Akure, Ondo State;1957.0;Federal Government;College of Agriculture
Federal College of Agriculture, Moor Plantation, P.M.B. 5029, Moor Plantation, Ibadan, Oyo State. drart@infoweb.abs.net;1921.0;Federal Government;College of Agriculture
Federal College of Agriculture, Ishiagu, P.M.B. 7008, Ishiagu, Ebonyi State.;1955.0;Federal Government;College of Agriculture
Federal College of Agricultural Produce Technology, Kano;1992.0;State Government;College of Agriculture
Federal College of Animal Health & Production Technology, Ibadan, P.M.B. 5029, Ibadan Oyo State. drart@infoweb.abs.net;1964.0;Federal Government;College of Agriculture
Federal College of Animal Health & Production Technology, Vom, P.M.B 1. Vom, Plateau State.;1941.0;Federal Government;College of Agriculture
Federal College of Fisheries & Marine Technology, Victoria Island, P.M.B. 80063 Victoria Island, Lagos State. fcfmt@yahoo.com;1969.0;Federal Government;College of Agriculture
Federal College of Forestry, Jericho Hill, P.M.B. 5054 Jericho Hill, Ibadan, Oyo State;1939.0;Federal Government;College of Agriculture
Federal College of Forestry, Jos, P.M.B 2019 Jos, Plateau State. fcfjos@infoweb.abs.net;1958.0;Federal Government;College of Agriculture
Federal College of Forestry Mechanisation Afaka, P.M.B. 2273, Afaka, Kaduna State. fedcollforestrykaduna@yahoo.com;1976.0;Federal Government;College of Agriculture
Federal College of Forestry Resources Management, Fugar, Edo State;1989.0;Federal Government;College of Agriculture
Federal College of Forestry Resources Management, Ishiagu, Ebonyi State;2020.0;Federal Government;College of Agriculture
Federal College of Forestry Resources Management, Maiduguri, Borno State;2020.0;Federal Government;College of Agriculture
Federal College of Freshwater Fisheries Technology, Baga, P.M.B. 1060, Maiduguri, Borno State;1978.0;Federal Government;College of Agriculture
Federal College of Freshwater Fisheries Technology, New Bussa, P.M.B. 1500, New Bussa, Niger State.;1978.0;Federal Government;College of Agriculture
Federal College of Horticultural Technology, Dadin Kowa, Gombe State;2002.0;Federal Government;College of Agriculture
Federal College of Land Resources Technology, Kuru, P.M.B. 2035, Jos, Plateau State.;1987.0;Federal Government;College of Agriculture
Federal College of Land Resources Technology, P.M.B. 1518, Owerri, Imo State. fedcolart2007@yahoo.com dfrin@skannet.com;1981.0;Federal Government;College of Agriculture
Federal College of Wildlife Management, New Bussa, P.M.B. 268, New Bussa, Niger State.;1978.0;Federal Government;College of Agriculture
Federal College of Veterinary and Medical Laboratory Technology, Vom.;1989.0;Federal Government;College of Agriculture
Mohammet Lawan College of Agriculture, Maiduguri, P. M .B. 1427, Maiduguri, Borno State;1977.0;State Government;College of Agriculture
Niger State College of Agriculture, Mokwa, P.M.B. 109, Mokwa, Niger State.;1979.0;State Government;College of Agriculture
Plateau State College of Agriculture, Garkawa, P.M.B. 001, Garkawa.;1998.0;State Government;College of Agriculture
Samaru College of Agriculture, DAC ABU, Zaria, Kaduna State.;1921.0;Federal Government;College of Agriculture
Usteem College of Agriculture12 Usteem Road, Off Ilobu RoadPMB 5008, Agunbelewo, OsogboOsun State;2023.0;Private;College of Agriculture
Yobe State College of Agriculture, Gujba.;1996.0;State Government;College of Agriculture
Academy of Medical Health and EducationUmoukwu, Oju LGABenue State;2022.0;Private;Innovation Enterprise
Adeyemi College of TechnologyOre RoadOndo CityOndo State;2022.0;Private;Innovation Enterprise
African College of Agriculture, Vocational and Technical StudiesKM 4, Oba – Ile Road,Akure, Ondo State.;2021.0;Private;Innovation Enterprise
Afrihub ICT Institute,AP Plaza. Ademola Adetokunbo Crescent Wuse II, Abuja, FCT. ese.egerega@afrihub.com;2008.0;Private;Innovation Enterprise
Akwa-Ibom State PolytechnicIkot OsuruaPMB 1200, Ikot EkpeneAkwa Ibon State;2022.0;State Government;Innovation Enterprise
Al-Muhibba Institute ICT and Entrepreneurship, 2 Bicados Street, Off Charles Adebayo Street, Kubawa, Abuja;2022.0;Private;Innovation Enterprise
Ambassador College Festac, Lagos;2010.0;Private;Innovation Enterprise
Ambassador College of Mgt. and Technology, 80c Igwuruta Road(Tank)Rumuokwurushi Port-harcourt;2009.0;Private;Innovation Enterprise
Aquatech Institute of Fisheries Management, Ibadan;2013.0;Private;Innovation Enterprise
Arewa Paralegal Innovation ENT.No. 6. Sir Kashim Ibrahim Way, U/ Rimi Kaduna;2009.0;Private;Innovation Enterprise
Asteven Renewable Energy Academy Kilometer 40, Lagos Ibadan Expressway Adjacent Greenland Estate Asese, Ogun State;2021.0;Private;Innovation Enterprise
Awgu College of Medical Sciences and Health TechnologySieco Industrial EstateAwguEnugu State;2022.0;Private;Innovation Enterprise
Benson Idahosa School of Basic & Applied Studies, Benin City, Edo State;2013.0;Private;Innovation Enterprise
Best Global Business and Financial School Kachia Road, Kaduna;2015.0;Private;Innovation Enterprise
Bonny Vocational Centre, Bonny Island, Rivers State;2013.0;Private;Innovation Enterprise
Buckingham Academy of Management and Technology, Ogidi, Anambra State;2008.0;Private;Innovation Enterprise
Business Education Examinations Council (BEEC), 13 Randle Road, Apapa, P.O. Box 55014, Falomo, Ikoyi, Lagos Statebeectraining@alpha.linkserve.com;2008.0;Private;Innovation Enterprise
Calvary Foundation Institute of Technology, Enugu, Enugu State;2013.0;Private;Innovation Enterprise
Calvary College of Technology, Ijoko, Ogun State;2015.0;Private;Innovation Enterprise
Central Institute of Business and Technology, Kilometer 4 Benin-Abraka Road, Egba, Benin City;2016.0;Private;Innovation Enterprise
Centre for Creative Arts Education, Port-Harcourt, 2A Ndabras Close, Off Trans-Amadi, Port-Harcourt, Rivers State.bighproductions@yahoo.com;2008.0;Private;Innovation Enterprise
Certified Institute of Shipping of Nigeria (CISN), Badagary Express Way, Lagos;2013.0;Private;Innovation Enterprise
Cherish Enterprise Institute, Batsari, Katsina State;2013.0;Private;Innovation Enterprise
CIFMAN Institute of Technology, Sabo, Yaba, Lagos;2011.0;Private;Innovation Enterprise
City Gate Institute of Innovation and Technology, Ibadan, E-telligence Place, 3rd Floor, Babos Building, 1 Oluyole Way, Bodija, Ibadan, Oyo State.  citygateconsulting@yahoo.com;2008.0;Private;Innovation Enterprise
City Institute of Management and Technology, Idogbo Educational Centre, Sani Abacha Road, Mararaba, Nasarawa State;2018.0;Private;Innovation Enterprise
Clara School of Media & Performing Arts, Yenogoa, Bayelsa State;2013.0;Private;Innovation Enterprise
College of Banking and Finance, Ibadan;2014.0;Private;Innovation Enterprise
Complete Computers and Technology Institute, Benin City, Edo State;2012.0;Private;Innovation Enterprise
Comprehensive Institute of Management and Technology, Byazin, Kubwa, Abuja;2013.0;Private;Innovation Enterprise
Conarina Maririme Academy Oria, Abraka, Delta State;2017.0;Private;Innovation Enterprise
Dagama College of Applied Science Chikaji Road, MTD Sabon Gari Zaria;2019.0;Private;Innovation Enterprise
Dalewares Institute of Technology, Lagos33 Imani Dauda St. Off Eric Moore Road, Surulere, Lagos State. dalewares@yahoo.comenquiry@dalewaresinstituteoftechnology.com;2008.0;Private;Innovation Enterprise
Damson Institute of Management and Technology, No 5 Damson Street, Off Etsu Jetta Street,Phase 1, Jikwoyi, Along Nyanya Karshi Road, FCT Abuja;2018.0;Private;Innovation Enterprise
Del-York Creative Academy, Ikoyi, Lagos State;2015.0;Private;Innovation Enterprise
Dialogue Computer Institute, Kaduna Study Centre. 1 Kudan Road, Legislative QtrsU/Dosa, Kaduna,;2009.0;Private;Innovation Enterprise
Dialogue Computer Institute Katsina Study Centre.;2009.0;Private;Innovation Enterprise
Digital Bridge Institute, Kano;2016.0;Federal Government;Innovation Enterprise
Digital Bridge Institute, Lagos;2016.0;Federal Government;Innovation Enterprise
Distinct Institute of Management and Technology, Osogbo,  Osun State;2018.0;Private;Innovation Enterprise
DOTS.ICT Institute of Technology, Agbadu Road, Abeokuta;2013.0;Private;Innovation Enterprise
ECWA Information and Computer Science Institute, Jos, Plateau State;2015.0;Private;Innovation Enterprise
Eko College of Management and Technology145, Ikotun  Abanranje Road, Ikotun, Lagos State;2018.0;Private;Innovation Enterprise
El- Academy Abuja, 340 Cadastral District Abuja, FCT;2021.0;Private;Innovation Enterprise
Elerinmosa Institute of Techology Erin- Osun State;2021.0;Private;Innovation Enterprise
Emdee Shipping and Maritime College, Apapa, Lagos;2013.0;Private;Innovation Enterprise
Entrepreneurship Vocational Technology Ltd, Matan Fada, Kano State;2010.0;Private;Innovation Enterprise
Enville Institute of Environmental and Safety Management Ikeja, Lagos;2016.0;Private;Innovation Enterprise
Environmental Sustainability Thinking and Action Centre (ESTAC), Institute of Construction & Engineering, Enugu.1, Mike Toney Avenue, Phase 6 Trans Ekulu, Enugu State.info@estacnigeria.orgchannel2010@yahoo.com;2008.0;Private;Innovation Enterprise
Fame School of Music17 Admiralty Way, Lekki Phase I, Lagos;2010.0;Private;Innovation Enterprise
FCFM-Afaka Entrepreneurship CentreKaduna;2010.0;Private;Innovation Enterprise
Filaps Media Training Institute, Kano;2015.0;Private;Innovation Enterprise
Film and Broadcast Academy (FABA)Hospital Road, Ozoro-Delta Statefaba@yahoo.com;2009.0;Private;Innovation Enterprise
First Irish Business School Egbeda – Idumu, Agege Lagos;2018.0;Private;Innovation Enterprise
First Mark Innovation School of Technology, Ado-Ekiti;2012.0;Private;Innovation Enterprise
Flying Dove Institute of Information Technology,Ground Floor, National Library Building, Adjacent reiz Continental Hotel,Central area Abuja.Abuja@fiitnig.comwww.fiitnig.com;2010.0;Private;Innovation Enterprise
Foundation College of Technology, Ikot Idem, Ikot Ekpene, Akwa Ibom State;2013.0;Private;Innovation Enterprise
Foundation for Energy Health International College of Science and Technology Mgbowo, Awgu Local Government Area, Enugu State;2018.0;Private;Innovation Enterprise
Gateway Industrial Petrogas Institute, Oni, Ogun State;2013.0;State Government;Innovation Enterprise
